epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7162.59,1.296,0.71902,0.00356,0.88037,0.82156,0.91593,0.63179,1.17843,0.58738,0.00392,0.0012862,0.0012862,0.0012862
43,7333.04,1.28268,0.7045,0.00343,0.87521,0.82114,0.90952,0.62805,1.18459,0.59307,0.00396,0.0012562,0.0012562,0.0012562
44,7503.12,1.28621,0.71021,0.00349,0.88107,0.82399,0.91476,0.63082,1.18126,0.58936,0.004,0.00122596,0.00122596,0.00122596
45,7673.4,1.27649,0.68496,0.00354,0.87477,0.8361,0.91901,0.63531,1.17343,0.57853,0.00393,0.00119551,0.00119551,0.00119551
46,7843.42,1.27645,0.70229,0.00351,0.88734,0.8228,0.9173,0.63331,1.18004,0.58691,0.00393,0.00116487,0.00116487,0.00116487
47,8014.53,1.28205,0.69638,0.00349,0.88435,0.83373,0.91887,0.63527,1.17945,0.57945,0.0039,0.00113408,0.00113408,0.00113408
48,8184.64,1.27192,0.68745,0.00349,0.88109,0.83776,0.91591,0.62996,1.18123,0.59325,0.0039,0.00110317,0.00110317,0.00110317
49,8355.51,1.27139,0.69137,0.00347,0.8776,0.83634,0.91471,0.63199,1.18525,0.58874,0.00392,0.00107216,0.00107216,0.00107216
50,8526.36,1.26556,0.68967,0.00343,0.88892,0.83065,0.9193,0.63693,1.16983,0.58222,0.00384,0.0010411,0.0010411,0.0010411
51,8696.03,1.25057,0.67006,0.00345,0.87391,0.84038,0.91863,0.63405,1.17791,0.57761,0.00389,0.00101,0.00101,0.00101
52,8866.18,1.25751,0.67862,0.00346,0.88459,0.83444,0.91972,0.63801,1.16786,0.57,0.00386,0.000978903,0.000978903,0.000978903
53,9037.04,1.25277,0.67157,0.0034,0.87451,0.83756,0.91671,0.6385,1.16115,0.57903,0.00383,0.000947837,0.000947837,0.000947837
54,9207.66,1.25143,0.6749,0.0034,0.8788,0.84371,0.92021,0.64175,1.15899,0.5714,0.00385,0.000916833,0.000916833,0.000916833
55,9378.76,1.24467,0.65938,0.00334,0.86644,0.85226,0.92014,0.63738,1.16625,0.57498,0.00384,0.00088592,0.00088592,0.00088592
56,9549.71,1.23022,0.65644,0.00337,0.88029,0.83729,0.91976,0.63902,1.15965,0.57752,0.00382,0.00085513,0.00085513,0.00085513
57,9719.96,1.23791,0.65409,0.00335,0.88308,0.84228,0.9226,0.64242,1.15885,0.55656,0.00384,0.000824492,0.000824492,0.000824492
58,9890.45,1.24457,0.65839,0.00333,0.88522,0.84087,0.92231,0.64439,1.15211,0.56191,0.00381,0.000794038,0.000794038,0.000794038
59,10061.3,1.23684,0.65548,0.00327,0.8767,0.85036,0.92204,0.64331,1.15753,0.56275,0.00381,0.000763797,0.000763797,0.000763797
60,10231.9,1.23406,0.64698,0.00331,0.88747,0.85154,0.92483,0.6434,1.15521,0.5562,0.00384,0.000733799,0.000733799,0.000733799
61,10402.6,1.23068,0.63786,0.0033,0.88548,0.84727,0.92568,0.64475,1.15174,0.56288,0.00379,0.000704073,0.000704073,0.000704073
62,10572.7,1.22571,0.64236,0.00324,0.89092,0.83824,0.92293,0.64659,1.15031,0.55146,0.0038,0.000674649,0.000674649,0.000674649
63,10743.5,1.21529,0.63345,0.00323,0.88685,0.84704,0.92404,0.64623,1.14951,0.55563,0.00378,0.000645557,0.000645557,0.000645557
64,10914.7,1.21549,0.63993,0.00333,0.8835,0.84727,0.92609,0.64727,1.1476,0.55484,0.00377,0.000616824,0.000616824,0.000616824
65,11086.6,1.20938,0.63477,0.00324,0.88583,0.84537,0.92239,0.64531,1.15158,0.55726,0.0038,0.000588479,0.000588479,0.000588479
66,11257.6,1.21965,0.63955,0.00323,0.87953,0.84624,0.92297,0.64602,1.14921,0.56062,0.00377,0.000560549,0.000560549,0.000560549
67,11428.3,1.21499,0.62743,0.00325,0.88969,0.84487,0.92489,0.64797,1.1464,0.55303,0.00376,0.000533064,0.000533064,0.000533064
68,11601.0,1.20792,0.62763,0.00317,0.88694,0.84228,0.92421,0.64793,1.14947,0.54417,0.00376,0.000506049,0.000506049,0.000506049
